price,price_per_sqm,latitude,longitude,surface,rooms,heating_type,floor,rent,property_status,property_type,property form,freeFrom,sellerType,construction_year,building_type,distance_school,has_school_nearby,distance_park,has_park_nearby,distance_transport,has_transport_nearby,distance_supermarket,has_supermarket_nearby,distance_hospital,has_hospital_nearby,distance_restaurant,has_restaurant_nearby,distance_gym,has_gym_nearby,distance_mall,has_mall_nearby,accessibility_score,facility_count,accessibility_label,avg_room_size,year_built_category,city,Județ,county_sales_april_2025_log
84600.0,1202.0,44.3670339,26.1394839,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2019.0,bloc,307.0,1,318.0,1,343.0,1,443.0,1,382.0,1,354.0,1,446.0,1,830.0,1,97.0,8.0,Excellent - Everything you need within walking distance,29.0,2010-2019,Bucuresti,bucuresti,8.921457578947884
285000.0,3563.0,44.4335711,26.1335832,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2021.0,bloc,423.0,1,114.0,1,369.0,1,373.0,1,632.0,1,502.0,1,703.0,1,579.0,1,97.0,8.0,Excellent - Everything you need within walking distance,29.0,post-2019,Bucuresti,bucuresti,8.921457578947884
699000.0,2757.0,44.503553,26.0478671,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2008.0,bloc,972.0,1,560.0,1,105.0,1,986.0,1,325.0,1,316.0,1,314.0,1,368.0,1,100.0,8.0,Excellent - Everything you need within walking distance,29.0,2000-2009,Bucuresti,bucuresti,8.921457578947884
26000.0,718.3,45.7678128,22.9072331,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2019.0,bloc,8.0,0,518.0,1,81.0,1,0.0,0,396.0,1,154.0,1,709.0,1,0.0,0,100.0,5.0,Excellent - Everything you need within walking distance,29.0,2010-2019,Hunedoara,hunedoara,6.525029657843462
138000.0,2464.0,44.4637641,26.0375781,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2022.0,bloc,200.0,1,70.0,1,152.0,1,922.0,1,870.0,1,1306.0,0,884.0,1,687.0,1,100.0,7.0,Excellent - Everything you need within walking distance,29.0,post-2019,Bucuresti,bucuresti,8.921457578947884
259000.0,3238.0,44.4222997,26.0705486,80.0,3.0,centrală pe gaz,2.0,450,gata de utilizare,locuință nouă,drept de proprietate,2025-05-21,agenție,2025.0,bloc,318.0,1,126.0,1,23.0,1,200.0,1,249.0,1,614.0,1,563.0,1,83.0,1,100.0,8.0,Excellent - Everything you need within walking distance,26.666666666666668,post-2019,Bucuresti,bucuresti,8.921457578947884
95000.0,1527.0,44.1756714,28.6176126,62.22,3.0,centrală pe gaz,9.0,450,de renovat,locuință utilizată,drept de proprietate,2025-05-21,agenție,1969.0,bloc,526.0,1,228.0,1,229.0,1,327.0,1,435.0,1,327.0,1,406.0,1,150.0,1,97.0,8.0,Excellent - Everything you need within walking distance,20.74,1960-1979,Constanta,constanta,7.741533589281828
57900.0,1206.0,44.45840949999999,25.9733521,48.0,2.0,centrală pe gaz,4.0,450,în construcție,locuință nouă,drept de proprietate,2025-05-21,privat,2025.0,bloc,233.0,1,437.0,1,139.0,1,449.0,1,336.0,1,107.0,1,782.0,1,1182.0,1,100.0,8.0,Excellent - Everything you need within walking distance,24.0,post-2019,Chiajna,ilfov,8.254788926148725
93900.0,1401.0,47.1332292,27.7080713,67.0,3.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,1989.0,bloc,888.0,1,300.0,1,522.0,0,1145.0,0,1177.0,1,635.0,1,768.0,1,453.0,1,92.0,6.0,Excellent - Everything you need within walking distance,22.333333333333332,1980-1999,Tomesti,vaslui,6.508769136971682
95000.0,1527.0,44.1756714,28.6176126,62.22,3.0,centrală pe gaz,9.0,450,de renovat,locuință utilizată,drept de proprietate,2025-05-21,agenție,1969.0,bloc,526.0,1,228.0,1,229.0,1,327.0,1,435.0,1,327.0,1,406.0,1,150.0,1,97.0,8.0,Excellent - Everything you need within walking distance,20.74,1960-1979,Constanta,constanta,7.741533589281828
