id;url;title;price;price_per_sqm;latitude;longitude;address;surface;rooms;heating_type;floor;rent;property_status;property_type;property form;freeFrom;sellerType;additional information;construction_year;building_type;distance_school;has_school_nearby;distance_park;has_park_nearby;distance_transport;has_transport_nearby;distance_supermarket;has_supermarket_nearby;distance_hospital;has_hospital_nearby;distance_restaurant;has_restaurant_nearby;distance_gym;has_gym_nearby;distance_mall;has_mall_nearby;accessibility_score;facility_count;accessibility_label
IDCWMw;https://www.storia.ro/ro/ofărăa/propietar-vand-apartament-cu-1-camera-IDCWMw;Propietar vand apartament cu 1 camera;107500.0;2560.0;46.7526905;23.5561137;Manastur, Cluj-Napoca, Cluj;42.0;;centrală pe gaz;4;fără informații;gata de utilizare;locuință utilizată;drept de proprietate;fără informații;privat;fără informații;;clădire de apartamente;107;1;353;1;193;1;143;1;270;1;385;1;369;1;323;1;100;8;Excellent - Everything you need within walking distance
IDDJI8;https://www.storia.ro/ro/ofărăa/apartament-2-camere-metrou-vis-a-vis-de-metrou-constantin-brancoveanu-IDDJI8;Apartament 2 camere metrou Vis a vis de metrou Constantin Brancoveanu;126990.0;2442.0;44.3892215;26.1182032;Berceni, Sectorul 4, Bucuresti;52.0;;centralizată;2;fără informații;gata de utilizare;locuință utilizată;drept de proprietate;2025-05-23;agenție;balcon;1988;clădire de apartamente;310;1;1;1;111;1;144;1;546;1;499;1;131;1;302;1;100;8;Excellent - Everything you need within walking distance
IDCBNu;https://www.storia.ro/ro/ofărăa/apartament-3-camere-bloc-anvelopat-zona-apusului-IDCBNu;Apartament 3 camere bloc anvelopat zona Apusului;82000.0;1281.0;44.4354305;26.0171063;Militari, Sectorul 6, Bucuresti;64.0;;centralizată;4;fără informații;fără informații;locuință utilizată;fără informații;fără informații;agenție;balcon bucătărie  separată;1965;;211;1;167;1;199;1;296;1;157;1;383;1;248;1;313;1;100;8;Excellent - Everything you need within walking distance
IDD8C2;https://www.storia.ro/ro/ofărăa/apartament-deosebit-in-bloc-nouăultrafinisat-terasă-parcare-zona-w-IDD8C2;Apartament deosebit in bloc nouă ultrafinisat, terasă, parcare, zona W;215000.0;3525.0;46.7526905;23.5561137;Manastur, Cluj-Napoca, Cluj;61.0;;fără informații;3;fără informații;fără informații;locuință nouă;fără informații;fără informații;agenție;balcon;;;107;1;353;1;193;1;143;1;270;1;385;1;369;1;323;1;100;8;Excellent - Everything you need within walking distance
IDDIcL;https://www.storia.ro/ro/ofărăa/oportunitate-bloc-nouădoua-camere-unirii-IDDIcL;OPORTUNITATE | BLOC nouă|DOUA CAMERE | UNIRII;197000.0;4427.0;44.4272848;26.0924412;Centrul Civic, Sectorul 3, Bucuresti;44.5;;centrală pe gaz;2;fără informații;gata de utilizare;locuință utilizată;fără informații;fără informații;agenție;balcon bucătărie  separată;2020;clădire de apartamente;920;1;342;1;435;1;132;1;313;1;739;1;450;1;958;1;93;8;Excellent - Everything you need within walking distance
IDDBUW;https://www.storia.ro/ro/ofărăa/apartament-2-camere-zona-centralăstr-harmanului-IDDBUW;Apartament 2 camere zona centralăstr Harmanului;89700.0;1725.0;45.66554190000001;25.6094527;Tractorul, Brasov, Brasov;52.0;;centrală pe gaz;4;fără informații;gata de utilizare;locuință utilizată;fără informații;fără informații;agenție;balcon;;bloc;230;1;388;1;12;1;728;1;1096;1;286;1;138;1;516;1;100;8;Excellent - Everything you need within walking distance
IDBfRL;https://www.storia.ro/ro/ofărăa/apartament-elegant-cu-2-camere-direct-dezvoltator-IDBfRL;Apartament Elegant cu 2 Camere - Direct Dezvoltator!;74000.0;1276.0;44.3818054;25.9892482;Bragadiru, Ilfov;58.0;;centrală pe gaz;1;fără informații;în construcție;locuință nouă;drept de proprietate;fără informații;agenție;balcon;2024;bloc;1019;0;0;0;42;1;892;1;231;1;304;1;1342;0;189;1;100;5;Excellent - Everything you need within walking distance
IDCBMQ;https://www.storia.ro/ro/ofărăa/apartament-2-camere-de-vanzare-in-plopilor-vechi-IDCBMQ;Apartament, 2 camere, de vanzare, in Plopilor Vechi;145000.0;3021.0;46.7648629;23.5647772;Plopilor, Cluj-Napoca, Cluj;48.0;;fără informații;3;fără informații;fără informații;locuință utilizată;fără informații;fără informații;agenție;fără informații;;;610;1;353;1;318;1;381;1;459;1;368;1;39;1;553;1;97;8;Excellent - Everything you need within walking distance
IDDJom;https://www.storia.ro/ro/ofărăa/penthouse-la-cheie-3-dormitoare-spaios-decomandat-constana-IDDJom;#Penthouse la cheie | 3 dormitoare | spa?ios | decomandat | Constan?a;258000.0;1911.0;44.2183607;28.596629;Tomis Plus - Boreal, Constanta, Constanta;135.0;;centrală pe gaz;;fără informații;gata de utilizare;locuință utilizată;drept de proprietate;fără informații;agenție;terasă bucătărie  separată;2021;bloc;116;1;1227;0;68;1;205;1;125;1;762;1;261;1;877;1;100;7;Excellent - Everything you need within walking distance
IDD8C1;https://www.storia.ro/ro/ofărăa/apartament-cu-2-camere-si-balcon-pe-mihai-viteazu-IDD8C1;Apartament cu 2 camere si balcon pe Mihai Viteazu;74000.0;1850.0;45.7784783;24.1525133;Hipodrom III, Sibiu, Sibiu;40.0;;centrală pe gaz;4;fără informații;gata de utilizare;locuință utilizată;fără informații;fără informații;agenție;balcon bucătărie  separată;1985;bloc;313;1;205;1;184;1;318;1;407;1;549;1;322;1;313;1;100;8;Excellent - Everything you need within walking distance
